stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
1,（倒さない）ように気をつけてください。,Hãy chú ý đừng làm đỏ., くずさない ,たおさない,こわさない, つぶさない,,x,,,"崩す→Làm vỡ, phá vỡ",làm đổ,壊す→Làm hỏng,潰す→Bẹp
2,今回の件での（損害）は数千万円にのぼった。,Tổn hại của vụ việc lần này đã lên tới vài nghìn vạn yên, ひがい , そんかい ,そんがい, ひかい,,,x,,被害→Bị dại,,Tổn hại,
3,思ったより（険しい）山道だった。,Con đường núi nguy hiểm hơn tôi tưởng,くるしい,さびしい, はげしい ,けわしい,,,,x,"苦しい→Vất vả, khó khăn",寂し→Buồn,激しい→Khốc liệt,"Nguyên hiểm, hiểm trở"
4,この辺りは（比較的）人通りが少ない。,Khu vực quanh đây tương đối ít người qua lại,ひこうてき, ひこてき , ひかくてき,ひかてき,,,x,,,,"Khá là, tương đối",
5,飛行機は（下降）を始めた。,Máy bay bắt đầu hạ cánh,かこう,かくう, げこう ,げくう,x,,,,,,,
6,鈴木さんは（あざやか）な色のシャツを着ていた。,Anh Suzuki đang mặc cái rực rỡ,鮮やか,美やか,清やか,純やか,x,,,,"(Tiên) Rực rỡ, chói lóa",(mỹ),(thanh),(thuần)
7,今年の夏休みは（きせい）の予定はありません。,Nghỉ hè năm nay thì tôi không có ý định về quê,帰勢,帰斉,帰省,帰成,,,x,,,,(quy - tỉnh) Về quê,
8,もう少し（ちぢめて）ください。,Hãy cho nó ngắn lại thêm 1 chút,薄めて,納めて,貯めて,縮めて,,,,x,"(Bạc)うすめる→Làm mờ, làm nhạt đi",(Nạp)おさめる→Nộp,(Trữ0ためる→Trữ,"(Súc) thu gọn, rút ngắn lại"
9,これからさまざまなことを（じっせん）していきたい。,Từ nay thì tôi muốn được thực hành thật là nhiều điều,実施,実践,実桟,実旋,,x,,,(Thực thi) じっし→thực thi,(Thực tiễn)じっせん→thực tiễn,,
10,西村氏の作品の中ではこの小説は、かなり（いしょく）だ。,Trong những tác phẩm của anh Ishimura thì tiểu thuyết này mang màu sắc khá riêng biệt,異色,違色,異食,違食,x,,,,(Dị sắc) Màu sắc tiêng biệt,,,
11,宿題を（ ）提出するよう、先生に言われた。,Tôi bị thầy nhắc là hãy nộp lại bài tập về nhà.,復,改,再,補,,,x,,(Phục),(Cải),(Tái)再提出：さいていしゅつ→Nộp lại,(Bổ)
12, あの人は都会（ ）だ。,Người đó sinh ra ở thành phố (dân thành phố),育ち,過ごし,始まり,生き,x,,,,都会育ち：とかいそだち→Sinh ra ở thành phố,"すごし→sống, trải qua",はじまり→bắt đầu,いき→Sống
13,（ ）仕事終わったので、休憩しよう。," Làm xong 1 phần công việc rồi, nghỉ ngơi thôi",半,短,小,一,,,,x,(Bán)はん→1 nửa,(Đoản)みじかい・たん→ngắn,(Tiểu)しょう→Nhỏ,一仕事：1 phần công việc
14,彼の演技はとても個人的で、見る人の（ ）が大きく分かれる。,"Do diễn xuất của anh ấy rất mang tính cá nhân, nên sự đánh giá của người xem được phân chia khá lớn.",考慮,評価,信頼,測定,,x,,,(Khảo lự)こうりょ→Suy nghĩ,(Bình giá )ひょうか→Đánh giá,(Tín lại)しんらい→Tin tưởng,(Trắc định)そくてい→Trắc định
15,話し合いでは、相手の意見を（ ）し、よく聞くことが大切だ。,Trong những cuộc bàn bạc thì việc tôn trọng và lắng nghe ý kiến của đối phương là điều quan trọng,尊重,信仰,提案,発揮,x,,,,(Tôn trọng)そんちょう→tôn trọng,(Tín ngưỡng)しんこう→Tín ngưỡng,(Đề án)ていあん→Đề xuất,(Phát huy)はっき→Phát huy
16,この商品は、健康を気にする40代から50代の人を（ ）に開発しました。,Sản phẩm này được sản xuất để nhắm tới những người đang quan tâm tới sức khỏe ở độ tuổi 40-50,ゴール,インパクト,アピール,ターゲット,,,,x,Đích (goal),"Tác động, ảnh hưởng ( impact)",Làm nổi bật (Appear),Nhắm tới (target)
17,佐藤さんは服装や髪形が個性的で、他の人とは違う（ ）の雰囲気がある。,Anh Sato có trang phục và màu tóc rất cá tính nên có cảm giác đặc biệt khác với người khác ,定着,専用,独特,区別,,,x,,"(Đinh trước) ていちゃく→Định hình, ổn định",(Chuyên dụng)せんよう→Chuyên dụng,"(Độc đắc)どくとく→Đặc sắc, riêng biệt",(Khu biệt)くべつ→Phân biệt
18, 前回の大会では、あの二人は最後まで優勝を（ ）していた。,"Trong đại hội lần trước, 2 người đó đã tranh giành chức vô địch cho tới cùng",戦って,争って,奪って,破って,,x,,,"(Chiến)たたかう→Chiến đấu, thi đấu","(Tranh)あらそう→Chiến tranh, trnah giành",(Đoạt)うばう→Chiếm đoạt,(Phá)やぶる→phá
19,高橋さんの家を訪ねたが、みんな出かけているようで、人の（ ）がなかった。,"Tôi đã tới thăm nhà anh Takahashi, nhưng có vẻ như là không có ai ở nhà, cảm giác như nhà không có người. ",動作,実感,気配,状態,,,x,,(Động tác) どうさ→Động tác,"(Thực cảm)じっかん→cảm giác thực, cảm nhận thực tế","(Khí phối)けはい→Cảm giác, cảm nhận","(Trạng thái)じょうたい→Trạng thái, tình trạng"
20,彼は自分で決めたルールも守らない、（ ）人だ。,"Anh ấy không tuân thủ những quy tắc do mình đề ra, là người không có quy củ.",不規則な,あやふやな,大まかな,いいかげんな,x,,,,(Bất quy tắc)ふきそく→Không có nguyên tắc,"Mập mờ, quanh co","おおまか→Qua loa, đại khái",Vô trách nhiệm
21,ボランティアで町の名所を（ガイド）している。,Tôi đang làm việc tình nguyện hướng dẫn những nơi nổi tiếng trong thành phố,案内して,宣伝して,調査して,記録して,x,,,,(Án nội)あんない→Hướng dẫn,(Tuyên truyền)せんでん→Tuyên truyền,(Điều tra)ちょうさ→Điều tra,"(Kí lục)きろく→Kỷ lục, ghi chép"
22,山口さんも（真剣に）作っていた,Anh Yamaguchi cũng đang làm một cách nghiêm túc,上手に,自由に,積極的に,まじめに,,,,x,"(Thượng thủ)じょうず→Giỏi, khéo ",(Tự do)じゆう→Tự do,(Tự do đích)せっきょくてき→Mang tính tích cực,Ban đầu
23,彼女のような歌手は（まれだ）と思う。,Tôi nghĩ rằng hiếm có ca sĩ nào giống như cô ấy.,あまりいない,人気が出ない,人気が出る,たくさんいる,x,,,,Không hay có,"Không được đánh giá tốt, không được ưa thích",Được ưa thích,Có nhiều
24,この道は（終日）通行止めです。,Con đường này tới cuối ngày sẽ cấm đi lại,週末,夜間,一日中,今日まで,,,x,,(Chu mạt)しゅうまつ→Cuối tuần,(Dạ gian)やかん→Giữa đêm,(Nhất nhật trung)いちにちじゅう→Trong cả ngày,きょうまで→Cho tới hôm nay
25,青木さんは髪を（いじって）いた。,Anh aoki đã mân mê tóc,切って,触って,洗って,乾かして,,x,,,(Thiết)きる→Cắt,(Xúc)さわる→Sờ,(Tiễn)あらう→Rửa,(Can)かわかす→Làm khô
26,初期,(Sơ kỳ ) thời kỳ đầu, 曲の初期の部分を聞いただけで、題名が何かわかりました。 , この建物は有名な建築物で、明治時代の初期に建てられました。,池田選手は、試合の初期では負けていたが、最後には勝つことができた。, 今日は朝から雲に覆われ、初期は雨だったが、途中から雪に変わった。,,x,,,"曲（きょく）bài hát, 題名（だいめい）Tiêu đề.  =>Vì chỉ nghe mình đoạn đầu của bài hát nên tôi không biết tên bài hát là gì.","建物（たてもの）Tòa nhà, 明治時代（めいじじだい）Thời minh trị. => Đây là tòa nhà nổi tiếng được xây dựng vòa giai đoạn đầu thời Minh trị.","先週（せんしゅう）Cầu thủ, 試合（しあい）Trận đấu. => Tuyền thủ Ikeda đầu trận đấu đã thua nhưng cuối cùng thì anh ấy đã thắng","雲（くも）Mây, 覆う（おおう）Che phủ、途中（とちゅう）Giữa chừng. => Hôm nay từ sáng trời đã phủ đầy mây, lúc đầu thì mưa nhưng giữa chừng chuyển thành tuyết rơi."
27,打ち明ける,"うちあける→thẳng thắn, cởi mở, nói rõ suy nghĩ",仕事でわからないことがあれば、彼が何でも打ち明けてくれます。, 谷口さんが戻ってきたら、伝言を打ち明けておいてもらえますか。 , 大事な情報はすぐに上司に打ち明けましょう。 ,ずっと秘密にしていたことを友達に打ち明けた。,,,,x,"Trong công việc khi có chỗ không hiểu, bất kể vấn đề gì anh ta cũng chỉ cho tôi.",Sau khi anh Taniguchi về thì có thể chuyển lời tới anh ấy giúp tôi được không,Hãy ngay lập tức báo cáo lại những thông tin quan trọng với cấp trên,Tôi đã tiết lộ bí mật mà mình giấu mãi với bạn bè
