stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4,,,,,,,,
16,遠慮はいらないので、いつでも （ )声をかけてください。,"Đừng ngại, có gì thì hãy cứ bảo tôi nhé.", 無事に, 気軽に, 率直に, 器用に,,x,,,「VÔ SỰ」ぶじに：bình an vô sự,「KHÍ KHINH」きがるくに：đừng ngại,"「SUẤT TRỰC」そっちょく: Thật thà, thẳng thắn",「KHÍ DỤNG」きよう：khéo léo,,,,,,,,
17,Ｅメールに（　　　)されたファイルが開けない。,File đính kèm ở email không mở được., 輸送, 付属, 郵送, 添付,,,,x,"ゆそう：vận chuyển, chuyên chở",ふぞく：trực thuộc,ゆうそう：gửi bằng bưu điện,てんぷ：đính kèm,,,,,,,,
18,そんなに人のことを(　　　)見るものではありませんよ。,Đừng có nhìn chằm chằm vào người khác như vậy., じろじろ, たまたま, さっさと, うっとり,x,,,,nhìn chằm chằm,thỉnh thoảng / ngẫu nhiên,mau lẹ,lơ đễnh,,,,,,,,
19,その選手は体力（　　　）まで走り続けた。,Tuyển thủ đó đã tiếp tục chạy cho đến giới hạn của thể lực bản thân., 制限, 限界, 境界, 境目,,x,,,せいげん：hạn chế,げんかい：giới hạn,"きょうかい：biên giới, ranh giới",さかいめ：đường ranh giới,,,,,,,,
20,彼はその出来事がきっかけで、医者になる決意を(　　　)。,Anh ấy đã quyết chí trở thành bác sĩ từ sự việc đó., 固めた, まとめた, 仕上げた, 合わせた,x,,,,"かためる→Chắc chắn, cổng cố",纏める→Tổng hợp,しあげる→Hoàn thành,"あわせる→Điều chỉnh, làm cho phù hợp",,,,,,,,
21,あの人の冷たい態度には(失望)した。,Tôi đã thấy vọng vì thái độ lạnh lùng của người đó., がっかりした, びっくりした, かっとした, ぞっと した,x,,,,Thất vọng (失望：しつぼう,Bất ngờ,"Giận, sôi máu","Run rẩy, sợ, lạnh sống lưng",,,,,,,,
22,すぐに仕事に(とりかかります)。,Bắt tay vào công việc ngay lập tức, 仕事を探します, 仕事を始めます, 仕事を教えます, 仕 事を頼みます,,x,,,しごとをさがす→Tìm việc,しごとをはじめる→Bắt đầu công việc,しごとをおしえる→Chỉ việc,しごとをたのみます→Nhờ việc,,,,,,,,
23,手書きの文字には書いた人の(人柄)が出る。,Trong chữ viết tay sẽ thể hiện tính cách của người viết, 格好, 体調, 気分, 性格,,,,x,(Cách hảo)かっこう→ Ngoại hình,"(Thể điều)たいちょう→ Sức khỏe, tình trạng sức khỏe","(Khí phân)きぶん→ Tâm tình, tinh thần",(Tính cách)せいかく→ Tính cách＝人柄(ひとがら),,,,,,,,
24,スピーチは(案の定)うまくできなかった。,Bài thuyết trình đã không thành công đúng như dự kiến, あまり, あいかわらず, やっぱり, ぜんぜん,,,x,,Không ... Lắm,"Không thay đổi, vẫn thế",Quả nhiên là = 案の定(あんおじょう ： Đúng như dự đoán),,,,,,,,,
25,ごみを(くるんで)捨てた。,Tôi đã bọc rác để vứt, 縛って, 集めて, 分けて, 包んで,,,,x,"しばる→Buộc, trói",あつめる→Gom,"分ける→Chia, phân chia",つつむ→Bọc = くるむ,,,,,,,,
26,引用,(Dẫn dụng) いんよう：Trích dẫn, プレゼンがうまい先鞏のやり方を引用する。, 大きな川から水を引用する。, レポートで、新聞記事を引用する。, ほかの人のお金を引用してはいけない。,,,x,,Tôi đã tham khảo cách làm từ người sempai giỏi thuyết trình. -> Nên dùng 参考（さんこう）,Nước chảy từ sông lớn -> Nên dùng 引く（ひく）,Tôi đã trích dẫn bài báo trong báo cáo.,Không được dùng (ăn trộm / lấy ) tiền của người khác -> Nên dùng 使用（しよう）・盗む（ぬすむ）・取る（とる）,,,,,,,,
27,ほっと,"Cảm thấy nhẹ lòng, cảm thấy yên tâm", ほっと気づいたら、ポケットの中のかぎがなかった。, 会議中に、ほっとしていたら、上司に注意された。, 好きな人に話しかけられて、ほっと顔が赤くなった。, なくしたと思った大事な本を見つかって、ほっとした。,,,,x,,,,Tôi đã yên tâm khi tìm thấy cuốn sách rất quan trọng mà tôi nghĩ là đã mất rồi.,,,,,,,,
