stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4,,,,,,,,,,,
31,X市とY市を結ぶ橋が、約10年の工事（ ? ）、昨年ようやく完成 した。,"Cây cầu kết nối thành phố X và thành phố Y ước tính thi công trong 10 năm, cuối cùng cũng đã hoàn thành vào năm ngoái",の際,の末,のたび,のもと,,x,,,,,,,,,,,,,,,,,
32,「田中さんがこの会社をやめるって話、まだ秘密みたいだから、 悪いけど、聞かなかった（ ? ）にしてくれない?」,"Chuyện anh Tanaka nghỉ việc ở công ty này, có vẻ như vẫn còn là một bí mật. Hơi tệ một chút, nhưng (anh) có thể coi (làm) như chưa nghe thấy gi giúp tôi được không?",こと,だけ,もの,の,x,,,,,,,,,,,,,,,,,,
33,最近、よくお腹が痛くなるので、病院で診てもらったら、（ ? ）ストレスが原因だろうと言われた。,"Gần đây tôi hay bị đau dạ dày, đi khám thì bác sĩ bảo có lẽ nguyên nhân là do căng thẳng (stress)",どうか,まさか,おそらく,いったい,,,x,,,,,,,,,,,,,,,,
34,私は、急な雨（ ? ）、いつも折り畳み傘を持ち歩いている。,Tôi luôn đề phòng những cơn mưa bất chợt (cơn mưa ngang qua) nên lúc nào đi bộ cũng cầm theo cái ô gấp (ô thu gọn),に反して,に加えて,に備えて,に応じて,,,x,,,,,,,,,,,,,,,,
35,（自転車屋で）客「すみません、自転車のブレーキ、壊れちゃっ たんですけど、すぐ直りますか。」 店員「そうですね、これだったら30分（ ? ）直りますよ。」,"(Tại cửa hàng xe đạp) Khách hàng: ""Xin lỗi đã làm phiền, nhưng phanh xe đạp của tôi hỏng mất toi rồi, có thể sửa ngay (cho tôi) được không?"" Nhân viên: ""Vậy à...nếu là thế (nếu đúng là hỏng phanh) thì có khi phải sửa đến 30 phút đấy ạ""",も あるのに,もあれば,はないのに,はなければ,,x,,,,,,,,,,,,,,,,,
36,（講演会で）司会「ご来場の皆様、本日は第3回さくら市教育講 演会に（ ? ）、ありがとうございます。」,"(Tại buổi diễn thuyết) Người dẫn chương trình :""Xin cảm ơn quý khách đã tới buổi diễn thuyết về giáo dục lần thứ 3 của thành phố Sakura""",まいり,ご覧になり,お目にかかり,おいでくださり,,,,x,,,,,,,,,,,,,,,
37,夫は動物が好きじゃないから、もし私がペットを飼いたいと言っ ても、（ ? ）。,Vì chồng tôi không thích động vật nên nếu mà tôi nói là muốn nuôi pet (thú cưng) thì chắc chắn là anh ấy sẽ phản đối.,反対しかねる,反対しようがない,反対するならいい,反対するに決まっている,,,,x,,,,,,,,,,,,,,,
38,今はスポーツも演劇もテレビで見られる時代だが、直接見ること に（ ? ）得られない感動というものがある。,"Bây giờ là thời đại dù là xem thể thao hay phim kịch thì đều có thể xem bằng tivi, thế nhưng có một loại cảm xúc phấn khích mà chúng ta chỉ có thể có được khi xem trực tiếp",とってしか,よってしか,ついてのみ,対してのみ,,x,,,,,,,,,,,,,,,,,
39,子供のおもちゃは、種類ごとに透明なケースにしまって中身がわ かる（ ? ）、子供がおもちゃを探しやすくなるので、おすすめです。,Đồ chơi của trẻ con thì (tôi khuyến khích) nên chọn loại để trong case (hộp) trong suốt để trẻ có thể dễ dàng tìm thấy đồ chơi.,ようになるには,ようにして おくと,ようになっても,ようにしておいて,,,x,,,,,,,,,,,,,,,,
40,昨日購入した中古の大型バイクは、かなり古いものなのだが、と てもきれいな状態だった。前の持ち主によほど大切に（ ? ）。,Cái xe đạp loại lớn (hạng nặng) mà hôm qua tôi lấy về (nhập về) mặc dù là đồ tương đối cũ nhưng tình trạng xe lại rất đẹp. Chắc hẳn là (cái xe này) đã được chủ cũ chăm sóc rất tốt,されてもおかしくない,し続けても おかしくない,されていたに違いない,し続けていたに違いない,,,,x,,,,,,,,,,,,,,,
