stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4,,
16,彼は（ ）な返事をしていたから、パーティーに来るかどうかわ からない。,彼はあいまいなな返事をしていたから、パーティーに来るかどうかわ からない。（Tôi không biết liệu anh ấy có đến bữa tiệc hay không vì anh ấy đã trả lời không rỏ ràng.）,地味な,かすかな,あいまいな,鈍感な,,,x,,地味 (Địa Vị) ちみ：Sự giản d; mộc mạc,"微か（ Vi ) かすか　：nhỏ bé, thấp thoáng",曖昧な( Ái-Muội) あいまいな：Sự mập mờ; không rỏ ràng; khó hiểu,鈍感 ( Độn- Cảm)　どんかん：Ngu xuẩn,,
17,新しいことがなかなか覚えられないのは記憶力が（ ）からだろ うか。,新しいことがなかなか覚えられないのは記憶力がおとろえたからだろうか。Tôi tự hỏi có phải lý do tại sao tôi không thể nhớ những điều mới một cách dễ dàng là do trí nhớ của tôi đã kém đi.,傷んだ,散った,かれた,おとろえた,,,,x,傷 ( Thương ) きず： vết xước.,"散る ( Tán ) ちる：tàn, héo tàn *　散らす：bay tơi tả",枯れた( Khô) かれた：khô héo.,衰え ( Suy ) おとろえ： sự suy yếu; suy nhược;suy giảm,,
18,相手が弱いと思って（ ）したら、負けてしまった。,"相手が弱いと思って油断したら、負けてしまった。Tôi đã mất cảnh giác vì nghĩ rằng đối thủ của tôi yếu, và tôi đã thua.",納得,油断,失望,覚悟,,x,,,"納得 ( Nạp - Đắc ) なっとく：sự lí giải, sự đồng ý.","油断 ( Du- Đoạn ) ゆだん： sự ẩu thả, lơ đễnh.",失望 ( Thất-Vọng) しつぼう：Thất vọng.,覚悟 ( Giác- Ngộ ) かくご：Sự quyết tâm; sẵn sàng.,,
19,二人とも働いているので、家事や育児は夫婦で（ ）している。,"二人とも働いているので、家事や育児は夫婦で分担している。Vì cả hai chúng tôi đều đi làm, nên cả hai vợ chồng tôi đều đàm nhiệm việc nhà và chăm sóc con cái.",分別,区?,区分,分担,,,,x,"分別 ( Phân- Biệt ) ぶんべつ : Sự phân biệt, phân tách.",区　( Khu ) く : khu; khu vực,区分　（Khu - Phân ) くぶん : Phân chia; sắp xếp,分担　( Phân - Đam ) ぶんたん : sự gánh vác ; trách nhiệm,,
20,次の社長に最も（ ）人は、経験豊富な鈴木さんでしょう。,"次の社長に最もふさわしい人は、経験豊富な鈴木さんでしょう。Người phù hợp nhất cho vị trí tổng giám đốc tiếp theo sẽ là ông Suzuki, người có nhiều kinh nghiệm.",ふさわしい,等しい,ありがちな,当たり前な,x,,,,相応しい　( Tương- Ứng )　ふさわしい: thích hợp; tương ứng；đúng như.,等しい　( Đẳng )　ひとしい : Bằng nhau; tương tự,"ありがちな(人)：(người) thường, phổ thông, bình thường.","当たり前な ( Đương- Tiền )　あたりまえな: Dĩ nhiên, Đương nhiên",,
21,この辺リも(物騒になってきた)気がする。,"tôi cảm thấy khu vực này cũng dần đang trở thành loạn lạc( nguy hiểm). * 物騒 ( Vật- Tao ) ぶっそう：loạn lạc, nguy hiểm, cảm giác không an toàn.",きれいじゃなく なってきた,うるさくなってきた,安全じゃなくなったてき,さびしくなってきた,,,x,,không sạch đẹp,"trở nên ồn ào, khó chịu",không an toàn,trở nên buồn tẻ,,
22,その話を聞いて(落ち込んだ)。,"Tôi cảm thấy suy sụp sau khi nghe chuyện này. * 落ち込んだ　(LẠc) おちこんだ：Buồn bã, suy sụp, chán nản",緊張した,びっくりした,がっ かりした,心配した,,,x,,"緊張する (Khẩn Trương) きんちょう： hồi hộp, căng thẳng",びっくりした：bị bất ngờ ( hoảng hồn) ;ngạc nhiên.,"がっかりした：hụt hẫn, chán nản, thất vọng",心配した ( Tâm Phối ) しんぱい： lo lắng,,
23,(精いっぱい)やったのに、あまり評価されなかった。,"Tôi đã làm hết sức mình, nhưng nó không mấy được công nhận.",せっ かく,一生懸命,いろいろ,何回も,,x,,,"mất công, cất công ~ làm gì",Cố gắng hết sức,"nhiều, đa dang",nhiều lần,,
24,その話を聞いて、みんな(同情した)。,"Sau khi nghe câu chuyện đó, mọi người đều đã thông cảm.",しかたないと思った,うらやましいと思った,なつかしいと思った,かわいそうだと思った,,,,x,"hết cách, bó tay, hết kiên nhẫn",ghen tị; thèm muốn,懐かしい( Hoài)　なつかしい : Nhớ tiếc,"tội nghiệp, thông cảm, đáng thương",,
25,条件を(定める)必要がある。,Cần phải xác định các điều kiện. *定める ( Định ) さだめる：xác định,決める,伝える,調べる,合わせる,x,,,,決める ( Quyết ) きめる：Quyết định,"伝える ( Truyền ) つたえる：Truyền đạt, nhắn","調べる (Điều) しらべる：Điều tra, nghiên cứu","合わせる ( Hợp) あわせる： làm phù hợp, điều chỉnh",,
