stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
1,この仕事を始めたころは体力的につらかったが、続いている（ ）慣れてきた。,Lúc mới bắt đầu công việc này thì khá mệt về mặt thể chất nhưng tiếp tục làm thì cũng quen rồi.,くせに,ばかりに,までに,うちに,,,,x,mà... (đánh giá xấu),Vた＋ばかりに：chỉ tại / chỉ vì,trước (khi) / chậm nhất là,Vる／Vている＋うちに：trong lúc đang V
2,A「どうして転職したいの？」 -  B 「（ ）残業が多すぎるんだもん。」,A: Sao lại muốn chuyển việc vậy?  B: Tại tăng ca nhiều quá mà.,ただ,だって,ただし,だったら,,x,,,có điều,Tại (lí do) ấy mà / Tại (lí do) chớ bộ => lối nói thân mật,có  / với điều kiện là / tuy nhiên,nếu thế thì
3,映画のDVDを買ったが、一度見た（ ）見ていない。,"Tôi mua cái DVD phim này nhưng chỉ xem một lần, sau đó không xem lần nào nữa.",末,折に,きり,しか,,,x,,Vた＋末に：(vào) cuối / sau khi / sau một hồi ,(vào) dịp / lúc,"Vた＋きり〜ない：đó là lần V cuối cùng, sau đó thì không ","chỉ, mỗi"
4,家族に迷惑を（ ）まで、自分の夢を叶えようとは思わない。,Tôi không muốn thực hiện giấc mơ của mình thậm chí bằng cả cách làm phiền đến gia đình.,かけない,かける,かけた,かけて,,,,x,,,,てまで／までして：tới mức / thậm chí
5,課長は自分で指示した（ ）、そのことを覚えていなかった。,Mặc dù trưởng nhóm đã tự mình ra chỉ thị nhưng lại không nhớ gì về việc đó cả.,のみならず,にもかかわらず,に限らず,を問わず,,x,,,không chỉ,bất chấp / mặc dù,không chỉ... (mà còn...),không kể / bất kể
6,なれる（ ）、宇宙飛行士になりたかった。,"Nếu có thể (thành hiện thực), tôi muốn trở thành phi hành gia.",ものなら,ものだから,ものか,ものの,x,,,,nếu có thể,vì...nên...,(cảm thán) làm sao / biết bao,(tuy...) nhưng
7,浅い川でも子供に（ ）は危険なので、子供だけで遊ばせないようにしてください。,Ngay cả sông cạn cũng sẽ nguy hiểm cho trẻ em nên đừng để trẻ chơi một mình.,ついて,応じて,とって,よって,,,x,,Nについて：về N,Nに応じて：ứng với N,đối với,"(nguyên nhân) do / bởi, (phương pháp) bằng cách / nhờ, (chỗ dựa) nhờ / dựa trên, (trường hợp) tùy..."
8,このラーメン屋はよく割引券をくれ、（ ）何回も使うことができる。,"Tiệm mì này hay cho tôi phiếu giảm giá, mà phiếu này lại còn xài được nhiều lần.",または,しかも,ところが,すなわち,,x,,,hoặc là,lại thêm /lại còn/chưa hết,nhưng / vậy mà,tức là
9,彼女は大変な努力の（ ）、経営者として成功し、世界的にも知られるようになった。,"Sau nhiều nỗ lực, cô ấy đã thành công với vai trò của người quản lý và được biết đến trên toàn thế giới.",末,次第,以来,相違,x,,,,Nの＋末（に）：(vào) cuối / sau khi / sau một hồi ,N次第だ：tùy thuộc ở N,N以来：kể từ N / suốt từ N,"sai, khác"
10,地震などの災害を備えて、この会社では社員一人（ ）３日分の水と食料が準備されている。,"Để chuẩn bị cho các trận thảm họa ví dụ như động đất..., ở công ty này, mỗi nhân viên được chuẩn bị phần đồ ăn và nước uống cho 3 ngày.",たびに,おきに,につき,ごとに,,,x,,cứ mỗi lần ,cứ cách...,N＋từ chỉ số lượng＋につき：cho mỗi / cứ mỗi,cứ (mỗi lần)...lại...
