stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4,,,,,,,,,,,
32,あの人は、人の意見を聞き（ ）しないで、自分の主張ばかりす る。,あの人は、人の意見を聞き（も）しないで、自分の主張ばかりす る。Người đó không thèm nghe ý kiến của người khác mà chỉ khăng khăng làm theo ý mình,まで,も,と,を,,x,,,,,,,,,,,,,,,,,
33,さっき、買い物（ ）、コンビニに寄ってATMでお金を下ろして きた。,さっき、買い物（のついでに）、コンビニに寄ってATMでお金を下ろして きた。Nhân lúc đi mua đồ thì tôi tạt qua cây ATM trong Combini để rút tiền,の場合,にしては,のついでに,というのは,,,x,,,,,,,,,,,,,,,,
34,私たちが住んでいる地球は、（ ）どうやってできたのでしょうか。地球誕生の秘密を見てみましょう。,私たちが住んでいる地球は、（いったい）どうやってできたのでしょうか。地球誕生の秘密を見てみましょう。Trái đất mà chúng ta đang sống đã được hình thành như thế nào? Hãy cùng xem bí mật về sự (đản sinh) hình thành của trái đất nào,とうとう,おそらく,まもなく,いったい,,,,x,,,,,,,,,,,,,,,
35,X社の調査によると、共働き夫婦における夫の家事負担の割合は 、夫の年齢が（ ）にしたがって増加しているという。,"X社の調査によると、共働き夫婦における夫の家事負担の割合は 、夫の年齢が（下がる）にしたがって増加しているという。Theo cuộc điều tra ở công ty X, đối với những cặp vợ chồng mà cả 2 vợ chồng cùng đi làm THÌ tỉ lệ gánh vác việc nhà của người chồng tăng lên khi mà tuổi của anh ta giảm xuống (chồng càng trẻ thì tỉ lệ giúp đỡ việc nhà cho vợ càng tăng)",下がる,下がっている,下がった,下がっていた,x,,,,,,,,,,,,,,,,,,
36,12月に入り、インフルエンザの患者数は増える（ ）。,"12月に入り、インフルエンザの患者数は増える（一方だ）。Vào tháng 12, số lượng bệnh nhân bị cúm ngày càng tăng",ほとだ,までだ,一方だ,次第だ,,,x,,,,,,,,,,,,,,,,
37,わが国は、石油や石炭などのエネルギー資源がほとんどないため 、多くを海外からの輸入に（ ）。,わが国は、石油や石炭などのエネルギー資源がほとんどないため 、多くを海外からの輸入に（頼らざるを得ない）。Đất nước chúng ta gần như không có những tài nguyên năng lượng như dầu mỏ và than đá nên phải nhập khẩu từ nước ngoài (Phụ thuộc vào),頼らざるを得ない,頼るわけにはいかない,頼らないに違いない,頼ること にほかならない,x,,,,,,,,,,,,,,,,,,
38,（会社で）<br/>受付「A社の山下様が受付で（ ）。」<br/>田中「あ、わかりました。すぐ行きます。,"(Tại công ty) Quầy tiếp tân: Ngài Yamashita của công ty A đang đứng chờ ở quầy tiếp tân đấy ạ
<br/>Tanaka: A, hiểu rồi, Tôi đến ngay đây!",お待ちです,待っております,お待ちください,待っていただけますか,x,,,,,,,,,,,,,,,,,,
39,レストランハヤマのランチは、AランチかBランチの種類（ ）選 べないけどとてもおいしい。,レストランハヤマのランチは、AランチかBランチの種類（ ）選 べないけどとてもおいしい。Bữa trưa tại nhà hàng Hayama rất ngon mặc dù chỉ được chọn 1 trong 2 set (ăn) A hoặc set (ăn) B,にしか,にだけ,からしか,加らだけ,,,x,,,,,,,,,,,,,,,,
40,昨日私が乗った飛行機は、今まで乗ったどの（ ）さかった。,"昨日私が乗った飛行機は、今まで乗ったどの（飛行機よリも）さかった。Cái máy bay hôm qua tôi leo lên, tính tới bây giờ thì chẳng có cái nào ồn được như nó cả",飛行機のわりに,飛行機よリも,飛行機がいちばん,飛行機のほうが,,x,,,,,,,,,,,,,,,,,
41,髪が傷んでしまうので髪を洗った後は、濡れた（ ）、しっかり 乾かしましょう。,"髪が傷んでしまうので髪を洗った後は、濡れた（ ）、しっかり 乾かしましょう。Bởi vì tóc đã bị tổn thương nên sau khi gội đầu, hãy sấy khô hoàn toàn chứ không nên để tóc ướt",ま まにせず,ようになって も,だけにすれば,ことにならなくて,x,,,,,,,,,,,,,,,,,,
42,A「最近元気ないみたいだけど、どうしたの」<br/>B「別れた彼のことがなかなか忘れられなくて…<br/>A「忘れられないなら、そんなに無理に （）と思うよ。」,"A「最近元気ないみたいだけど、どうしたの」 A: gần đây trông chị không được khỏe lắm, có chuyện gì hả?
B「別れた彼のことがなかなか忘れられなくて… B: Tôi mãi mà vẫn không quên được anh người yêu cũ...
A「忘れられないなら、そんなに無理に （忘れようとしなくてもいい）と思うよ。」A: Nếu mà không quên được thì tôi nghĩ chị không nên cố quên",B「別れた彼のことがなかなか忘れられなくて…,A「忘れられないなら、そんなに無理に （）と思うよ。」,忘れてしまいたくない,忘れようとしているんだ,忘れようとしなくてもいい,,,x,,,,,,,,,,,,,,,
43,私は両親に子供のころから自分がやりたいことを自由に （）。,私は両親に子供のころから自分がやりたいことを自由に （やらせてもらってきた）。Tôi đã được bố mẹ cho làm những gì tôi muốn ngay từ khi còn là trẻ con,やらせてもらってくる,やらせてくれている,やらせてもらってきた,やらせてくれていた,,,x,,,,,,,,,,,,,,,,
44,山や植物の写真家 ___ ___ ___ ★ 写真展が15日からABCデ パートで開催される。,,として,の,岩本まさき氏,有名な,,,,,,,,,,,,,,,,,,,
45,子供のころは、年が長く感じられたのに、年をとる ___ ___ ★ ___ だろうか。,,の は,につれて,なぜ,短く感じるようになる,,,,,,,,,,,,,,,,,,,
46,情報をどのような ___ ___ ★ ___ が変わってくるので、順 番を意識して話す必要がある。,,相手の受け止め方,提示するか,によって,順番で,,,,,,,,,,,,,,,,,,,
47,日本では、99歳のお祝いを「白寿」と言います。,,「百」の字から「一」をとる ___ ___ ★ ___ そう呼ばれています。,と,字になる,ことから,,,,,,,,,,,,,,,,,,,
48,講師「最初は ___ ___ ★ ___ 気になってくるということは ありませんか。このような心理現象を『ザイオンス効果』と言います。」,,うちに,全く興味がなかった,商品なのに,CMなどで何度か見ている,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
