stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
1,木村さんは誰に対しても(等しく)接する人だ。,Anh Kimura là một người đối xử bình đẳng với tất cả mọi người,やさしく,ひとしく,したしく,きびしく,,x,,,,"等しく(ĐẲNG)　ひとしく：công bằng, bình đẳng",,
2,石川さんのけがは、(軽傷)だったらしい。,Chấn thương của anh Ishikawa có vẻ chỉ là vết thương nhẹ thôi,けいしょう,けい そう,けしょう,けそう,x,,,,"軽傷 (KHINH THƯƠNG ) けいしょう : vết thương nhẹ (trái nghĩa 重傷 (TRỌNG THƯƠNG) じゅうしょう : đọc Kanji hiểu gòy, khum cần thêm nghĩa nữa)",,,
3,費用はみんなで(負担)した。,Chúng tôi sẽ chịu (gánh vác) mọi chi phí,ぶんてん,ふてん,ぶんたん,ふたん,,,,x,,,,"負担 (PHỤ ĐAM) ふたん : lo, chịu, gánh vác (gánh tạ)"
4,湖に(映った)夕日がきれいだ。,"Trên mặt hồ, hình ảnh phản chiếu của hoàng hôn thật điệp",あたった,ひかった,てっ た,うつった,,,,x,,,,"映る (ÁNH) うつる : phản chiếu, chiếu (phát) phim, chiếu lên (1 bề mặt)"
5,9月の(下旬)に旅行に行く予定です。,(Tôi) có dự định đi du lịch vào hạ tuần tháng 9,げしゅん,かじゅん,げじゅん,かしゅん,,,x,,,,"下旬 (HẠ TUẦN) げじゅん : hạ tuần (khoảng 10 ngày cuối cùng của 1 tháng) (1 tháng = 30 ngày, có 上旬 (THƯỢNG TUẦN) じょうじゅん - 中旬 (TRUNG TUẦN) ちゅうじゅん và HẠ TUẦN => 30/3=10 ngày cho mỗi thượng/trung/hạ tuần, có thể hiểu đơn giản là đầu-giữa-cuối tháng)　",
6,その行為は交通ルールに(いはん)します。,Hành vi này vi phạm luật lệ giao thông,偉判,偉反,違 判,違反,,,,x,VĨ - PHÁN,VĨ - PHẢN,VI - PHÁN,"違反 (VI PHẢN) いはん : sự vi phạm (luật lệ, quy tắc, luật pháp...)"
7,(いさましい)声が聞こえてきた。,(Tôi) nghe thấy một giọng nói tràn đầy dũng khí (nội lực),戦ましい,勇ましい,騒ましい,勢ましい,,x,,,CHIẾN,"勇ましい (DŨNG) いさましい : dũng cảm, can đảm, đầy nội lực",TAO,THẾ
8,その店には(ようき)な音楽が流れていた。,Trong cửa tiệm đó vang lên tiếng nhạc du dương,揚起,揚気,陽 気,陽起,,,x,,DƯƠNG - KHỞI,DƯƠNG - KHÍ,"陽 気 (DƯƠNG KHÍ) ようき : thảnh thơi, thoải mái, nhẹ nhàng (trong câu số 9 - dịch là ""du dương"" nghe ổn hơn nha)",DƯƠNG - KHỞI
9,楽しみにしていたドラマを(みのがして)しまった。,(Tôi) đã bỏ lỡ bộ phim truyền hình thú vị mà tôi đang theo dõi,見逃して,見延して,見欠して,見去して,x,,,,"見逃して(KIẾN ĐÀO) みのがして : bỏ sót, bỏ lỡ, vuột mất",KIẾN - DUYÊN,KIẾN - KHIẾM,KIẾN - KHỨ
10,来月から、道路を(かくちょう)するための工事が始まる。,"Từ tháng sau, việc mở rộng con đường sẽ bắt đầu",拡張,広張,拡長,広長,x,,,,拡張 (KHUẾCH TRƯƠNG) かくちょう : mở rộng (về quy mô),QUẢNG - TRƯƠNG,KHUẾCH TRƯỜNG,QUẢNG - TRƯỜNG
