stt,noidung,dịch,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
1,青木さんってちょっと(幼い)ところがあるよね。,Anh Aoki hơi trẻ con nhỉ.,くどい,ずるい,おさない,しつこい,,,x,,諄い( Truân ) : dài dòng (văn chương); lắm lời; đa ngôn; lặp đi lặp lại,狡い( Giảo ): ranh mãnh; quỷ quyệt; láu cá,幼い( Ấu ): trẻ con; ngây thơ,lằng nhằng; lèo nhèo; lẵng nhẵng
2,しっかり(握って)ください。,Hãy cầm chắc vào.,ふって,にぎって,こすって,ほって,,x,,,降って( Hàng ) : rơi,"握る ( Ác ) : Nắm, túm, tóm",,掘って ( Quật ) : Đào bới
3,空気が入らないようにちゃんと(密閉)してください。,Vui lòng (niêm phong) đúng cách để không khí không lọt vào.,ひっぺい,みっぺい,みっぱい,ひっぱい,,x,,,,"密閉 ( Mật Bế ): kín hơi, kín gió",,
4,かなりの時間をかけてテーマを(絞った)。,Mất khá nhiều thời gian tập chung vào chủ đề.,しぼった,けずった,さぐった,うかがった,x,,,,絞る( Giảo ) : Vắt kiệt,,,
5,この線に対して(垂直)な線を引いてください。,Vẽ một đường (vuông góc) với đường này.,ついじき,ついちょく,すいじき,すいちょく,,,,x,,,,垂直 ( Thùy Trực ): sự thẳng đứng; sự thẳng góc; sự trực giao; thẳng đứng; thẳng góc
6,今朝は寒くて、池が(こおった)。,"Sáng nay trời lạnh, và cái ao đã đóng băng.",凍った,結った,固った,冷った,x,,,,( Đống )こお: đóng băng; làm đông lại,,,( Lãnh ) ひや: lạnh rót nước; mục đích lạnh
7,エネルギー問題についての(とうろん)が行われた。,Một cuộc thảo luận đã được tổ chức về các vấn đề năng lượng.,党論,討論,討議,党議,,x,,,( Đảng Luận ),( Thảo Luận ) とうろん: đàm luận;sự thảo luận; sự tranh cãi,( Thảo Nghị ) とうぎ: sự thảo luận; sự họp hành; cuộc họp,( Đảng Nghị ) とうぎ: họp Đảng
8,私たちの団体は傷ついた動物を(すくう)活動をしています。,Nhóm của chúng tôi đang làm làm những hoạt động cứu giúp những con vật bị thương.,治う,助う,救う,療う,,,x,,( Trì ) 治う: chữa khỏi,( Trợ ) すけ: giúp đỡ; cứu; trợ lý,( Cứu ) すくう: cứu giúp; cứu tế; cứu trợ,( Liệu )
9,CDの売れ行きは(こうちょう)だ。,Doanh số bán đĩa CD rất tốt.,好調,快調,好長,快長,x,,,,( Hảo Điều ) こうちょう: có trạng thái tốt; hứa hẹn; có triển vọng,"( Khoái Điều ) かいちょう: sự hài hoà, sự cân đối, sự hoà thuận, sự hoà hợp; tình trạng tốt; suôn sẻ",(Hảo Trường ),( Khoái Trường )
10,この機会は(えいきゅう)にうごくわけではない。,Cơ hội này sẽ không kéo dài mãi mãi.,延久,永遠,永久,延遠,,,x,,( Duyên Cửu ) えんきゅう,( Vĩnh Viễn ) えいえん: sự vĩnh viễn; sự còn mãi,( Vĩnh Cửu ) えいきゅう: sự vĩnh cửu; sự mãi mãi; cái vĩnh cửu,
11,四月中にになると（ ）年度の会費が無料になります。,"四月中にになると初年度の会費が無料になります。Nếu vào tháng Tư, phí thành viên cho năm đầu tiên sẽ được miễn.",発,開,頭,初,,,,x,,,,( Sơ ) はつ: cái đầu tiên; cái mới
12,今の社長は（ ）社長より 15 歳も若い。,今の社長は前社長より15 歳も若い。Chủ tịch hiện tại trẻ hơn chủ tịch tiền nhiệm 15 tuổi.,先,前,昨,去,,x,,,,前社長: cựu chủ tịch,,
13,ここは会員（ ）のスポーツクラブだ。,ここは会員制のスポーツクラブだ。Đây là một câu lạc bộ thể thao thành viên.,令,制,則,形,,x,,,,,,
14,休日の公園は家族（ ）でいっぱいだった。,休日の公園は家族連れでいっぱいだった。Công viên vào những ngày lễ có rất nhiều gia đình.,込み,付き,伴い,連れ,,,,x,,,,家族連れ: dẫn theo gia đình / đi cùng gia đình
15,前の席の人は石川さんのような気がするが、（）後ろからでは顔が見えない。,"前の席の人は石川さんのような気がするが、真後ろからでは顔が見えない。Người ngồi ghế trước trông giống ông Ishikawa, nhưng tôi không thể nhìn thấy mặt ông ấy từ phía sau.",本,正,真,完,,,x,,,,"真後ろ( Chân Hậu ) まうしろ: chỗ ngay phía sau, chỗ ngay đằng sau",
16,骨を丈夫にするために、カルシウムを（ ）含む食品をとるようにしている。,骨を丈夫にするために、カルシウムを豊富な含む食品をとるようにしている。Tôi cố gắng ăn những thực phẩm giàu canxi để giữ cho xương chắc khỏe.,鮮明に,活発に,円満に,豊富に,,,,x,"( Tiên Minh ) せんめい: tươi sáng, rõ ràng",( Hoạt Bát ) かっぱつ: hoạt bát; khoẻ mạnh; sôi nổi; nhanh nhẹn,( Viên Mãn ) えんまん: sự viên mãn; sự đầy đủ; sự trọn vẹn; sự êm đẹp,( Phong Phú ) ほうふ: phong phú; giàu có
17,今週は、暑くも寒くもなく、強い風も吹かず、（ ）天気が続いている。,"今週は、暑くも寒くもなく、強い風も吹かず、穏やかな天気が続いている。Tuần này thì không nóng cũng không lạnh và không có gió mạnh, thời tiết ôn hòa vẫn đang tiếp tục.",柔らかな,穏やかな,滑らかな,緩やかな,,x,,,( Nhu ) やわらか: mềm mại; dịu dàng .,( Ổn ) おだやか: điềm đạm; yên ả; lặng sóng,( Hoạt ) なめらか: sự trơn tru,( Hoãn ) ゆるやか: nhẹ nhàng; chậm rãi; thoải mái; lỏng lẻo
18,資格試験がもうすぐあるのに、最近仕事が忙しくて、毎朝の勉強時間を十分に（ ）す るのが難しい。,"資格試験がもうすぐあるのに、最近仕事が忙しくて、毎朝の勉強時間を十分に確保するのが難しい。Tôi sắp có một kỳ thi , nhưng gần đây tôi quá bận rộn với công việc nên khó có đủ thời gian để học vào mỗi buổi sáng.",制作,保存,作成,確保,,,,x,( Chế tác ) せいさく: sự chế tác; sự làm .,"( Bảo Tồn ) ほぞん: sự bảo tồn, lưu trữ,",( Tác Thành ) さくせい: đặt ra; dựng ra; vẽ ra; làm ra; sản xuất; tạo ra; chuẩn bị; viết,( Xác Bảo ) かくほ: sự bảo hộ; sự bảo đảm; sự cam đoan; sự bảo vệ
19,雑誌に新しい広告を出して、わが社の商品の良さを消費者にもっと（ ）したい。,雑誌に新しい広告を出して、わが社の商品の良さを消費者にもっとアピールしたい。Chúng tôi muốn đưa ra một quảng cáo mới trên tạp chí để thu hút nhiều người tiêu dùng hơn về chất lượng sản phẩm của chúng tôi.,アピール,インストール,チャージ,セット,x,,,,chứng tỏ,sự cài đặt,nạp điện; sạc điện; nộp tiền vào thẻ,Cài đặt: set
20,失敗したことを（ ）より、気持ちを切り替えて、明日からまたがんばろうと思う。,"失敗したことを悔やむより、気持ちを切り替えて、明日からまたがんばろうと思う。Thay vì hối tiếc về thất bại của mình, tôi sẽ thay đổi tâm trạng và thử lại vào ngày mai.",断る,疑う,悔やむ,あきらめる,,,x,,( Đoạn ) ことわる: từ chối; không chấp nhận; bác bỏ,( Nghi ) うたがう: nghi ngờ; thắc mắc,( Hối ) くやむ: hối hận; hối tiếc; tiếc nuối; ăn năn; ân hận,từ bỏ; bỏ cuộc
21,わが社が海外への進出を考える（ ）となったのは、二年前の国際イベントだった。,わが社が海外への進出を考える契機となったのは、二年前の国際イベントだった。Đó là một sự kiện quốc tế cách đây hai năm đã cho chúng tôi cơ hội nghĩ về việc mở rộng ra nước ngoài.,契機,先端,始発,合図,x,,,,( Khế Ki ) けいき: thời cơ; cơ hội; động cơ; thời điểm chín muồi,( Tiên Đoan ) せんたん: mũi nhọn; điểm mút; rìa ngoài,( Thủy Phát ) しはつ: chuyến tàu đầu tiên .,( Hợp Đồ )あいず: dấu hiệu; hiệu lệnh
22,あの二人はさっきから（ ）話しているが、他人に聞かれては困る話なのだろうか。,"あの二人はさっきかひそひそ話しているが、他人に聞かれては困る話なのだろうか。Hai người họ đã thì thầm một lúc trước, nhưng tôi tự hỏi liệu có vấn đề gì không nếu người khác nghe được.",ぐっすり,うろうろ,ひそひそ,ばっさり,,,x,,trạng thái ngủ say; ngủ ngon,vòng vòng; đi đi lại lại; quanh quẩn; đi tha thẩn,khe khẽ; thì thầm; rón rén .,"kiên quyết, quyết liệt, hoàn toàn"
23,最近は生産が(過剰である)ことが問題になっている。,"Gần đây, sản xuất (quá mức) đã trở thành một vấn đề.〈/br〉( Quá Thặng ) かじょう: sự vượt quá; sự dư thừa",早すぎる,少なすぎる,遅すぎる,多すぎる,,,,x,,,,
24,もし資料に(あやまり)があったら知らせてください。,"Nếu có bất kỳ (sai sót) nào trong tài liệu, vui lòng cho tôi biết.",読みにくいところ,汚れているところ,わかりにくいところ,間違っているところ,,,,x,,汚れ( Ô )よごれ: bẩn; vệt bẩn,,
25,うちの子は(臆病)だ。,Con tôi thì nhút nhát ( rụt rè ). 〈/br〉臆病 ( Ức Bệnh ) おくびょう: sự nhát gan; sự bẽn lẽn; nhút nhát,よく病気をする,何でも怖がる,何でも忘れる,よく泣く,,x,,,Thường hay bị bệnh,Cái gì cũng sợ,Cái gì cũng quên( Hay quên ),Hay khóc nhè
