stt,noidung,dịch,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
1,私は少し (怖い) と思いました。,Tôi đã có một chút sợ hãi.,つらい,きつい,ゆるい,こわい,,,,x,辛い( Tân ) : đau đớn; khắc nghiệt;nkhó khăn,chặt chẽ; nghiêm trọng,緩い( Hoãn ) : lỏng lẻo; chậm rãi; nhẹ nhõm,怖い[Phố] :hãi hùng; sợ; đáng sợ
2,この食品は (冷蔵庫) で保存してください。,Hãy bảo quản thực phẩm này trong (tủ lạnh).,れいとうこ,れいぞうこう,れいぞうこ,れいとうこう,,,x,,,,冷蔵庫 ( Lãnh Tàng Khố ) :kho ướp lạnh; tủ lạnh .,
3,今年の支出は (総額) で約５００万円だった。,Chi tiêu năm nay tổng số tiềnlà khoảng 500 man yên.,こうがく,そうがく,そうかく,こうかく,,x,,,,総額 ( Tổng Ngạnh ) : số tiền tổng cộng; tổng kim ngạch,,
4,まだ (湿って) いるから、もう少し待ちましょう。,"Vì nó vẫn còn ướt, chúng ta hãy đợi một chút nữa.",におって,にごって,しめって,たまって,,,x,,,,湿 ( Thấp ) : sự ẩm ướt,溜まる (Lựu)·Đọng lại; ứ lại; dồn lạ
5,応募者には (抽選) でプレゼントが当たります。,Ứng viên sẽ trúng thưởng quà bằng cách rút thăm,ちゅうせん,ちゅうぜん,つうせん,つうぜん,x,,,,抽選 ( Trừu Tuyển ) : sự rút thăm; xổ số,,,
6,この国にはまだ (ゆたか) な自然が残されている。,Đất nước này vẫn còn thiên nhiên phong phú.,恵かな,富か,豊か,満か,,,x,,( Huệ ) めぐみ: hạnh phúc; phước lành,( Phú ) とみ: của cải; tài sản,( Phong ) ゆたか: phong phú; dư dả; giàu có.,"( Mãn ) まん: đầy đủ (năm, v.v.) ;toàn bộ, tất cả"
7,このセミナーの目標は、「自分で考える力」を (やしなう) ことです。,Mục tiêu của buổi hội thảo này là phát triển khả năng tư duy cho bản thân.,得う,築う,育う,養う,,,,x,( Đắc ) とく: có lợi.,( Trúc ) ちく,( Dục ) いく：nuôi dưỡng.,( Dưỡng ) やしなう: dưỡng;nuôi;nuôi nấng; nuôi dạy
8,ガラスの (はへん) を踏まれないように気を付けてください。,Cẩn thận đừng để giẫm lên mảnh vỡ của kính.,破片,被片,破辺,被辺,x,,,,( Phá Phiến ) はへん：mảnh vụn; mảnh vỡ.,,,
9,工場の入り口には夜間でも (けいび) の人がいる。,Có nhân viên bảo vệ ở cổng ra vào của nhà máy ngay cả vào ban đêm.,警秘,警備,係備,係秘,,x,,,Cảnh Bí,( Cảnh Bị ) けいび: cảnh bị . 警備員：nhân viên bảo vệ.,Hệ Bị,Hệ Bí
10,時間がないので、詳しい説明は (はぶきます) 。,Vì không có thời gian nên phần giải thích chi tiết sẽ bị lượt bỏ bớt.,略きます,除きます,省きます,抜きます,,,x,,"( Lược ) りゃく；ほぼ：viết tắt, hầu hết. * AはBの略です: A là viết tắt của B",( Trừ )のぞく : Gỡ bỏ·,( Tỉnh ) はぶきます: lượt bỏ; lượt bớt.,( Bạt ) ぬく: tháo bỏ
11,正月もスキー（ ）は、人でいっぱいだ。,正月もスキー場は、人でいっぱいだ。Các khu trượt tuyết chật kín người ngay cả trong ngày đầu năm mới.,所,場,区,地,,x,,,"( Sở ) ところ: nơi, chỗ",( Tràng ) じょう; ば: địa điểm; nơi chốn.,( Khu ) く: Khu vực,( Địa ) ち: Đất
12,（ ）学期から新しいプログラムが始まる。,来学期から新しいプログラムが始まる。Một chương trình mới sẽ bắt đầu vào học kỳ tới.,明,近,隣,来,,,,x,,,,らいがっき：Học kì mới.
13,この高校は進学（ ）が非常に高く、ほとんどの生徒が大学に進む。,"この高校は進学率が非常に高く、ほとんどの生徒が大学に進む。Trường trung học này có tỷ lệ học lên rất cao, và hầu hết học sinh đều học đại học.",量,値,率,割,,,x,,( Lượng ) りょう: Lượng; khối lượng.,( Trị )あたい: Giá trị,( Suất )りつ： Tỉ lệ,"( Cát )わり: Tỉ lệ, đơn vị 10%."
14,大臣の下に二人の（ ）大臣がいるのが一般的です。,大臣の下に二人の副大臣がいるのが一般的です。Dưới bộ trưởng có hai thứ trưởng là chuyện bình thường.,補,助,次,副,,,,x,( Bổ ) おぎな.う：Bổ sung,( Trợ ) すけ ;じょ: Cứu trợ; giúp đỡ,( Thứ ) つぎ： Lần sau; lần tới,( Phó ) ふく：Phó; thứ
15,スポーツテストの結果を学年（ ）に見ると、一年生だけが昨年を上回っていた。,"スポーツテストの結果を学年別に見ると、一年生だけが昨年を上回っていた。Nhìn vào kết quả kiểm tra thể thao theo cấp lớp, chỉ có học sinh năm nhất vượt trội hơn năm ngoái.",別,境,段,節,x,,,,( Biệt ) べつ: đặc biệt; trừ ra: phân biệt; riêng biệt,( Cảnh ) さかい:ranh giới; giới hạn; biên giới .,( Đoạn ) だん: bước; bậc thang; thứ bậc.,( Tiết ) ふし: đốt;khớp;nhịp
16,昨日の試合では実力を（ ）できず、一試合目で負けてしまった。,昨日の試合では実力を発揮できず、一試合目で負けてしまった。Tôi đã không thể hiện được khả năng của mình trong trận đấu ngày hôm qua và tôi đã thua trong trận đấu đầu tiên.,表現,明示,公開,発揮,,,,x,( Biểu Hiện ) ひょうげん: sự biểu hiện; sự diễn tả,( Minh Kì ) めいじ: sự chỉ bảo rõ ràng; sự trình bày rõ ràng .,( Công Khai )こうかい: sự công khai; công bố,( Phát Huy ) はっき: Phát huy
17,料理本を見ながら、自分の好みに合うように味付けを（ ）する。,"料理本を見ながら、自分の好みに合うように味付けをアレンジする。Trong khi xem sách nấu ăn, hãy điều chỉnh gia vị cho phù hợp với khẩu vị của bạn.",コメント,デザイン,アレンジ,ケア,,,x,,lời bình phẩm; lời bình luận .,sự thiết kế thời trang,sự chỉnh lý; sự điều chỉnh,sự săn sóc; sự chăm sóc; chăm sóc
18,あの人が描く絵には、ほかの人の絵にはない（ ）の雰囲気がある。,あの人が描く絵には、ほかの人の絵にはない独特の雰囲気がある。Những bức tranh anh ấy vẽ có một bầu không khí độc đáo mà những bức tranh của người khác không có được.,専属,独特,限定,孤立,,x,,,(Chuyên Chúc ) せんぞく: chuyên mục; chuyên gia.,( Độc Đặc ) どくとく：độc đáo,( Hạn Định ) げんてい: sự hạn định; sự hạn chế,( Cô Lập ) こりつ: sự cô lập; lẻ loi
19,父は、どんなに忙しい時でも、朝の運動を（ ）。,父は、どんなに忙しいときでも、朝の運動を欠かさない｡Bố tôi dù bận rộn đến đâu cũng không bỏ thể dục buổi sáng.,空けない,離さない,奪わない,欠かさない,,,,x,( Không ) あけない: Không bỏ trống,( Li )はなさない: Không rời xa.,( Đoạt ) うばわない: Cướp đoạt.,( Khiếm ) かかさない：Không bao giờ bỏ lỡ
20,クイズの答えがわからなくて（ ）答えたのに、正解だった。,"クイズの答えが分からなくて出鱈目に答えたのに、正解だった｡Tôi không biết đáp án của câu đố nên trả lời bừa , nhưng đã đúng .",でたらめに,わがままに,ぎざぎざに,ごちゃごちゃに,x,,,,出鱈目 ( Xuất Tuyết Mục )：cái linh tinh; cái tạp nhạp; sự bừlinh tinh; tạp nhạp; bừa bãi; lung tung .,"cứng đầu, ương bướng, ích kỷ, ngoan cố",răng cưa,xáo trộn lung tung; lung tung; rối tung; rối loạn
21,昨夜はこの冬で一番の寒さとなり、最低気温はマイナス20度に（ ）。,"昨夜はこの冬で一番の寒さとなり、最低気温はマイナス20度に達した。Đêm qua là đêm lạnh nhất mùa đông , nhiệt độ thấp nhất đạt mức âm 20 độ.",減った,達した,通じた,沈んだ,,x,,,( Giảm ) へった: giảm đi,"( Đạt )　たっす:·Tiếp cận, để đến, thành tựu",( Thông ) つうじ: sự thông qua; sự sơ tán; sự bài tiết phân,( Trầm ) しずむ: Chìm
22,来月の結婚式に向けて準備が（ ）進んでいる。,来月の結婚式に向けて準備が着々と進んでいる。Công việc chuẩn bị cho đám cưới vào tháng sau đang tiến triển đều đặn.,着々と,慎重に,いちいち,ぐんぐん,x,,,,( Trứ ) ちゃくちゃくと: Đều đặn；một cách vững chắc,( Thận Trọng ) しんちょう: sự thận trọng; thận trọng .,từng cái một,"nhanh chóng, mau lẹ"
23,車にボールを (当てて) 、しかられた。,Tôi đập bóng trúng vào ô tô và bị mắng.,ぶつけて,隠して,落として,詰めて,x,,,,打付ける ( Đả Phó ) Đập mạnh; đánh trúng; đánh mạnh; đánh và tấn công; húc mạnh,"( Ản ) かくし: ẩn giấu, che giấu, bị che giấu",( Lạc ) おとし: Rơi; mất,( Cật ) つめ： Đóng gói
24,その作家は (あわれな) 人生を送った。,Nhà văn đã sống một cuộc đời khốn khổ. 哀れ ( Ai ) あわれ： Đáng thương; buồn thảm; bi ai,たいくつな,おかしな,かわいそうな,不安な,,,x,,退屈な ( Thối Khuất ) : Buồn chán.,"linh tinh, kỳ cục, kỳ quặc",可愛そう ( Khả Ái ) : Đáng thương,( Bất An ) ふあんな: Bất an
25,(当分) は使わない予定です。,( Đương Phân ) とうぶん: như hiện tại,こらから,全部,今回,しばらく,,,,x,Từ giờ trở đi,Toàn bộ,こんかい: kỳ này;lần này,Tạm thời
26,留学の話が (一転) した。,いってん: Xoay/Thay đổi 180 độ,急にとまった,すっかり変わった,少し進んだ,とうとう許された,,x,,,Đột nhiên dừng lại,Thay đổi hoàn toàn,Tiến thêm một chút,Cuối cùng cũng được cho phép
27,テストの前日になって (じたばたしても) しかたない。,じたばた: vùng vẫy; vật lộn; đấu tranh; quằn quại .,慌てても,心配しても,緊張しても,悩んでも,x,,,,慌て( Hoảng ) あてて:cuống quýt,( Tâm Phối ) しんぱい: lo âu; lo lắng,( Khẩn Trương ) きんちょう: sự căng thẳng; căng thẳng,( Não )なやむ: phiền muộn
28,役目,( Dịch Mục )やくめ: trách nhiệm; công việc; nhiệm vụ .,次の公演で、私は医者の役目を演じる,健康のために、毎朝散歩することが役目になっている,池田さんが今日の掃除の役目だ,部下に仕事を教えるのは課長の役目の一つだ,,,,x,,,,Chỉ dạy công việc cho cấp dưới là một trong những nhiệm vụ của trưởng phòng.
29,最寄り,"( Tối Kí ) もより: bên cạnh, láng giềng",最寄りの点までは、歩いて30分だ,彼女は私の最寄りの友達だ,最寄りの試験は来月にある,電車の中で最寄りの人に足を踏まれた,x,,,,Mất 30 phút để đi bộ đến cửa hàng gần nhất.,,,
30,解約,( Giải Ước ) かいやく: sự hủy ước; sự hủy bỏ hợp đồng,大臣は、内容に誤りがあったと述べ、昨日の発言を解約した,年の留学を終えて国へ帰るので、銀行の口座を解約した,やむをえない理由により、A社との面会を解約した,あの会社は今年は赤字を解約することができた,,x,,,,Tôi đã hủy tài khoản ngân hàng của mình vì tôi sẽ về nước sau một năm du học.,,
