stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4,
1,誰も(憎んで)なんていませんから、心配しないでください。,Không có ai ghét đâu nên là không phải lo lắng gì cả.,なやんで,くやんで,うらんで,にくんで,,,,x,悩む(Não) なやむ：phiền não,悔やむ( Hối)　くやむ：hối hận,恨む(Hận)：căm hận,憎む(Tăng)　にくむ：ghét,
2,(偶然)駅で友達に会った。,Tôi vô tình gặp bạn ở ga.,とつぜん,ぐうぜん,ぐぜん,とぜん,,x,,,突然 (đột nhiên) 　とつぜん: đột nhiên,"偶然(Ngẫu nhiên)　ぐうぜん: chợt, ngẫu nhiên",Cụ- Toàn,徒然(Đồ Nhiên) とぜん: Sự nhàm chán; sự buồn tẻ; sự nhạt nhẽo; sự vô vị,
3,大学のゼミではいろいろな(刺激)を受けた。,Tôi đã nhận được nhiều (kích thích) tại cuộc hội thảo của trường đại học. ( *ゼミ là Hội thảo; buổi học có diễn thuyết về một chủ đề nghiên cứu ở trường đại học .,さてき,さげき,しげき,してき,,,x,,,,刺激（Thứ Kích) しげき：kích thích,"指摘（Chỉ trích) してき：chỉ ra nhược điểm, chỉ trích.",
4,失敗して(恥)をかいたが、先輩の優しい一言に慰められた。,"Tôi đã cảm thấy xấu hổ vì thất bại của mình, nhưng tôi đã được an ủi bởi một lời nhẹ nhàng từ tiền bối. (*慰め（úy) なぐさめ: an ủi )",はし,はじ,はず,はす,,x,,,橋 (Kiều) はし : cái cầu,"恥（Sỉ）はじ：cảm thấy xấu hổ, nhục nhã.",はず：chắc chắn,はす（蓮）Liên: hoa sen,
5,彼の強さは(圧倒的)だ。,Sức mạnh của anh ấy là (áp đảo).,あっとうてき,おっとうてき,あ っどうてき,おっどうてき,x,,,,"圧倒的に（áp đảo đích) あっとうてきに　: sự áp đảo, vượt trội",,,,
6,私の(しゅみ)はピアノをひくことだ。,Sở thích của tôi là việc chơi đàn piano.,趣味,興味,好味,習味,x,,,,趣味（thú vị ) しゅみ：Sở thích.,興味（Hưng vị）きょうみ:　Hứng thú.,好味（Hảo vị）,習味（Tập vị）,
7,もう少し(こい)鉛筆が欲しい。,Tôi muốn một cây bút chì đậm màu hơn một chút. (* 鉛筆 - Duyên bút「えんぴつ」: bút chì),軟い,薄い,硬い,濃い,,,,x,軟（Nhuyễn）なん：mềm,薄い（Bạt）： Nhạt; mỏng; lỏng,"硬い（Ngạnh）かたい：cứng rắn, dai",濃い（Nồng) こい： dày;đậm;sẫm...,
8,この皿は、真つ白ではなく、少し青が(まじった)ような色をして いる。,"Cái đĩa này không phải là màu trắng tinh, mà có màu được trộn một ít màu xanh.( màu hơi xanh)",組じった,含じった,混じった,加じった,,,x,,組む（Tổ）くむ：lắp ghép,含む（ Hàm）ふくむ：Bao gồm,"混じる（ Hỗn）まじる：Trộn, lẫn vào","加（Gia）か：gia nhập, thêm vào",
9,彼はいつも(そん)になることばかりしている。,Anh ấy lúc nào cũng toàn làm những việc khiến mình thua lỗ.,罪,害,損,毒,,,x,,罪（Tội）つみ：Tội ác; Tội lỗi,害（Hại）がい：hại,"損（Tổn）そん：Lỗ, tổn hại","毒（Độc）どく： Độc hại, thuốc độc",
10,素晴らしい(えんぎ)に感動した。,Tôi đã rất xúc động trước màn trình diễn tuyệt vời.,演劇,演技,園技,園劇,,x,,,"演劇（Diễn Kịch）えんげき： diễn kịch, vở kịch.",演技（Diễn Kĩ）えんぎ：kĩ thuật diễn,園技（Viên-Kĩ）えんわざ：làm vườn.,,
